Pair,Address0,Address1,Reserves0,Reserves1
0x8686f05BbC7De1852EC169A0af05e6bC55908684,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xC072EFE93FfA09D2c0Ca9c6faA477e55c5737Ce8,346430623679905050,253573795138808617
0x327624d36091708285eCC84B443161a278927d58,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x33FC7706F98D804a1aAc4d16a322BEbC98276b24,29846385349024810,817
0xa52f4cf897aa37fae6cc5332a75a6F4f82d676e8,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xB536dD0CD24d844A6A726Bd427d539Dd080dDc13,100000000000000000000,4666677000000000
0x8b1Ad3F75C5113E3dC1a6262b0564F569280Ea47,0x321162Cd933E2Be498Cd2267a90534A804051b11,0x9A775700694B0AF4B0DEa668f809d453EaC4Cbcd,1,80136120
0x323d41fF6e9Cac7b040927DD542F416fdf20eE90,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,11776414045567037100,24168964039898979
0x4309a483bE66b503BA8E85641F321beE61147680,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x4F16b83e55b92E6F8F7Da6D78Dd19d5a00954864,24993671509050456325,18039327176
0x0f0f8054a94b1533Ee712D2564f604484807C654,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xe7ED1feF415384B3fF1Caa67d3AB4A3A8252F0e7,30401573699855355111,12514019145735844820847572
0x9606D683d03f012DDa296eF0ae9261207C4A5847,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,1866683785232,1871396763208648107258760
0x7b6568eEda8630180cBa57e1e83ce5f6d1EC2eE6,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8677B5a0780AFaB84Cd278F398Aa95293f605c12,1000685374300192847,58743687805162014544
0x98c8cc0E444CE7490926A6C58484B937CF60E117,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,34646110414240138848,52543515563663186412
0x632280394c7155dF4bf03c1b3faed7857DA19a4b,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,21776097684432733173,110923008753336132
0xD52c57594F1b62cbA87DBf079608332AbE96e02e,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xaf319E5789945197e365E7f7fbFc56B130523B33,2448153414,2452218415184279941944
0xa7d46F64875a82461058806B784AfB8F33c7Ea7C,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xbAc5d43A56696e5D0CB631609E85798f564b513b,18807140382756133622530,2930307294598
0x95621Af58634Fb6181369fb520c16e5d51416220,0x13DE65693571d61FcF8daD3262c5A320165d10D2,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,11,30221234538699135
0xC8D0203019BF23dA9aC8e00281E72dF59eD43C45,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x4722f95F32608C30925dfd7b51328dBDE6696714,106400245340312168,6700756148538301604207
0x100FcF27C87D1cc7b8D6c28b69b84A359e4fd377,0x82F8Cb20c14F134fe6Ebf7aC3B903B2117aAfa62,0xaf319E5789945197e365E7f7fbFc56B130523B33,1294461027715525076216,7065088268330049900300
0xd14Dd3c56D9bc306322d4cEa0E1C49e9dDf045D4,0x049d68029688eAbF473097a2fC38ef61633A3C7A,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,207371527784,846931041478248420015460
0x6D7588bD1a803328eC36D66195CaB2A14081a32e,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8bF7123c1f57Dd7b185dCf45c52D512b259C91d8,78935166605219512,73953608337341678523
0x03b36C0790a84c6382C4AfDa7584107C6522F97e,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x24aF804F17D59dE93367410c9BEFa49444150D4c,87564188050753141,2425121855799584889611
0x6c2e7912ABb9426B42426d11443C9E96E688F42d,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xB30f6Cc429f963A1121715807844D2dB78671B10,22313843897732705,27804736531336
0x909698182d3fffc7B56e88eE6A2411E76c14146C,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x7b6568eEda8630180cBa57e1e83ce5f6d1EC2eE6,895857142857142857,6468509963224885503
0x0134Fae8F2BC78A901Eadb7A0366AC03A2144fd0,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xf3a61c7D53442Ac00a3a99761c5839F9109F2193,94251961901911656,6067186616706418218
0x8aa63a690Dc69adC4240d991459c32229693Dc8a,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xbc2451AaD349b6B43FD05F4F0cC327F8A6bcA2d4,163083617882741753,747416914584857944
0x503027824885f99e2840dA466822A160c4151D7b,0x30748322B6E34545DBe0788C421886AEB5297789,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,1,4212742355
0xEc2757fA50647D7865e17Ab519f08C6319E4184C,0x0575f8738EFdA7F512e3654F277C77e80C7d2725,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,1446576367718554753,8313928647592566
0x2789C73E03157D167bcAbca1e09aA61b79196074,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x82F8Cb20c14F134fe6Ebf7aC3B903B2117aAfa62,71080050500128781401,3192709246331275654
0xeE355F996b0515E4BD7E27ac2d67d3f4CB2A30A0,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xbc2451AaD349b6B43FD05F4F0cC327F8A6bcA2d4,557677870499415,45120638124053974
